"Users_Email","Users_Password","Student_Code","Student_FirstName","Student_LastName","Student_Phone","Student_Birthdate","Student_Religion","Student_MedicalProblem","Faculty_Name","Department_Name","Teacher_Code","Student_AcademicYear"
"wrali.eph@rmutto.ac.th","Cs12345678","858914730821-3","วราลี","เพชรศรี","0845844678","15-09-2545","ไม่ระบุ","โรคหัวใจ","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การจัดการ","720431526768-4","2567"
"suthida.sit@rmutto.ac.th","Cs12345678","565975176175-6","สุธิดา","สิทธิพงษ์","0682653953","1/12/2543","อิสลาม","ไมเกรน","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การจัดการ","404349442443-2","2566"
"suwdi.sup@rmutto.ac.th","Cs12345678","731690212718-7","สุวดี","ศุภพงษ์","0637742521","27-07-2543","คริสต์","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การจัดการ","804940151771-8","2565"
"kittichay.phu@rmutto.ac.th","Cs12345678","693736433229-5","กิตติชัย","ภูมิพงษ์","0894973592","8/7/2546","ไม่ระบุ","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การจัดการ","804940151771-8","2565"
"sakda.wrw@rmutto.ac.th","Cs12345678","501493743666-3","ศักดา","วรวิทย์","0828009751","6/12/2545","พุทธ","โรคหัวใจ","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การจัดการ","582426227270-1","2565"
"phachri.oph@rmutto.ac.th","Cs12345678","446506439251-0","พัชรี","อภิวัฒน์","0693326965","22-09-2546","ไม่ระบุ","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การจัดการ","582426227270-1","2565"
"ophiraks.wrw@rmutto.ac.th","Cs12345678","769311189612-2","อภิรักษ์","วรวิทย์","0874283214","28-10-2543","พุทธ","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การจัดการ","523221489653-2","2566"
"chwin.oru@rmutto.ac.th","Cs12345678","843844250360-1","ชวิน","อรุณวงศ์","0861622911","8/12/2547","ไม่ระบุ","ปัญหาการมองเห็น","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การจัดการ","804940151771-8","2567"
"onucha.ois@rmutto.ac.th","Cs12345678","355615311941-1","อนุชา","อิศรา","0855842035","19-10-2549","ไม่ระบุ","โรคหัวใจ","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การจัดการ","523221489653-2","2565"
"aphl.suk@rmutto.ac.th","Cs12345678","762866368563-0","ณัฐพล","สุขใส","0693972996","26-08-2544","ไม่ระบุ","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การจัดการ","804940151771-8","2565"
"kittiphngs.jak@rmutto.ac.th","Cs12345678","513748819197-9","กิตติพงษ์","จักรพงศ์","0879620786","20-04-2545","พุทธ","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การจัดการ","720431526768-4","2565"
"ophiraks.phn@rmutto.ac.th","Cs12345678","794114701211-0","อภิรักษ์","พงศกร","0686441475","16-08-2544","ไม่ระบุ","ปัญหาการมองเห็น","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การจัดการ","523221489653-2","2566"
"phirphl.phn@rmutto.ac.th","Cs12345678","690336255006-9","พีรพล","พงษ์ศักดิ์","0842515885","26-08-2546","อิสลาม","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การจัดการ","804940151771-8","2567"
"siththichay.phr@rmutto.ac.th","Cs12345678","520019387224-1","สิทธิชัย","พรหมศักดิ์","0917287936","1/2/2549","พุทธ","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การจัดการ","720431526768-4","2565"
"suwarinthr.wra@rmutto.ac.th","Cs12345678","180178749252-8","สุวารินทร์","วรากร","0994332142","14-07-2548","พุทธ","โรคหอบหืด","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การจัดการ","804940151771-8","2565"
"thnayya.suw@rmutto.ac.th","Cs12345678","890450713194-7","ธนัญญา","สุวรรณ","0812280454","28-03-2548","อิสลาม","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การจัดการ","720431526768-4","2565"
"mukda.eok@rmutto.ac.th","Cs12345678","365268348085-6","มุกดา","เอกราช","0627800693","25-03-2547","พุทธ","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การจัดการ","523221489653-2","2567"
"thiryuthth.jak@rmutto.ac.th","Cs12345678","187398452813-2","ธีรยุทธ","จักรพงศ์","0601065374","7/2/2546","ไม่ระบุ","ความดันโลหิตสูง","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การจัดการ","582426227270-1","2567"
"orthay.sir@rmutto.ac.th","Cs12345678","171749865152-0","อรทัย","ศิริชัย","0649966130","3/2/2543","คริสต์","โรคหัวใจ","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การจัดการ","720431526768-4","2565"
"oaychli.thi@rmutto.ac.th","Cs12345678","430797891526-6","อัญชลี","ธีรพงศ์","0994248120","11/9/2544","ไม่ระบุ","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การจัดการ","404349442443-2","2566"
"sukayyaratn.nph@rmutto.ac.th","Cs12345678","762393370211-9","สุกัญญารัตน์","นฤพนธ์","0608315532","11/6/2546","คริสต์","ความดันโลหิตสูง","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การจัดการ","720431526768-4","2565"
"priyya.phn@rmutto.ac.th","Cs12345678","717700572962-8","ปริญญา","พงศ์เดช","0815845292","18-01-2545","คริสต์","โรคเบาหวาน","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การจัดการ","404349442443-2","2566"
"siriratn.oak@rmutto.ac.th","Cs12345678","921308949054-9","ศิริรัตน์","อัครพล","0614664380","25-10-2546","อิสลาม","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การจัดการ","404349442443-2","2566"
"phirphl.sir@rmutto.ac.th","Cs12345678","582840962771-8","พีรพล","ศิริวัฒน์","0820319319","16-08-2545","อิสลาม","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การจัดการ","523221489653-2","2567"
"sunisa.phn@rmutto.ac.th","Cs12345678","996852703524-2","สุนิสา","พงศ์พันธ์","0942130041","7/11/2546","อิสลาม","ความดันโลหิตสูง","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การจัดการ","404349442443-2","2567"
"thnkr.pha@rmutto.ac.th","Cs12345678","811940951518-3","ธนกร","ภัทรเดช","0837944541","22-08-2543","ไม่ระบุ","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การจัดการ (2 ปี ต่อเนื่อง)","155081845464-4","2566"
"oisra.wrw@rmutto.ac.th","Cs12345678","531590615631-1","อิศรา","วรวิทย์","0819992848","4/12/2545","พุทธ","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การจัดการ (2 ปี ต่อเนื่อง)","912852184298-9","2566"
"jindaphr.wrp@rmutto.ac.th","Cs12345678","176633293664-0","จินดาภร","วรพัฒน์","0855143953","6/8/2548","ไม่ระบุ","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การจัดการ (2 ปี ต่อเนื่อง)","155081845464-4","2565"
"juamas.jir@rmutto.ac.th","Cs12345678","876188580070-7","จุฑามาศ","จิรภพ","0804311826","1/1/2546","คริสต์","ความดันโลหิตสูง","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การจัดการ (2 ปี ต่อเนื่อง)","912852184298-9","2566"
"thrngphl.phr@rmutto.ac.th","Cs12345678","573338310694-6","ทรงพล","พรเทพ","0812888056","4/3/2549","พุทธ","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การจัดการ (2 ปี ต่อเนื่อง)","155081845464-4","2566"
"jiraphimph.thn@rmutto.ac.th","Cs12345678","472046594162-1","จิราพิมพ์","ธนกฤต","0674593949","17-04-2549","อิสลาม","โรคหัวใจ","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การจัดการ (2 ปี ต่อเนื่อง)","912852184298-9","2565"
"wichit.oph@rmutto.ac.th","Cs12345678","442017380089-3","วิชิต","อภิชัย","0883670408","27-06-2545","พุทธ","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การจัดการ (2 ปี ต่อเนื่อง)","303480157224-4","2567"
"phirphl.jit@rmutto.ac.th","Cs12345678","359250912318-2","พีรพล","จิตตะวี","0885032019","20-08-2549","ไม่ระบุ","ความดันโลหิตสูง","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การจัดการ (2 ปี ต่อเนื่อง)","155081845464-4","2567"
"kongekiyrti.wre@rmutto.ac.th","Cs12345678","680926681227-8","ก้องเกียรติ","วรเกียรติ","0635991155","18-02-2547","ไม่ระบุ","โรคหอบหืด","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การจัดการ (2 ปี ต่อเนื่อง)","155081845464-4","2565"
"jiraphachr.khu@rmutto.ac.th","Cs12345678","654031670450-7","จิราพัชร","คุ้มวงศ์","0830002644","8/6/2548","คริสต์","ความดันโลหิตสูง","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การจัดการ (2 ปี ต่อเนื่อง)","155081845464-4","2567"
"thnayya.oak@rmutto.ac.th","Cs12345678","811013941948-3","ธนัญญา","อัครวัฒน์","0669398439","28-10-2548","อิสลาม","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การจัดการ (2 ปี ต่อเนื่อง)","449433545256-5","2566"
"wichit.onu@rmutto.ac.th","Cs12345678","354305798378-7","วิชิต","อนุชา","0636338973","18-08-2549","คริสต์","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การจัดการ (2 ปี ต่อเนื่อง)","155081845464-4","2566"
"suphawdi.wrp@rmutto.ac.th","Cs12345678","640960663229-8","สุภาวดี","วรพล","0698601029","2/4/2543","ไม่ระบุ","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การจัดการ (2 ปี ต่อเนื่อง)","912852184298-9","2565"
"suthida.thi@rmutto.ac.th","Cs12345678","976569639283-4","สุธิดา","ธีรพงศ์","0845832076","19-07-2545","ไม่ระบุ","ไมเกรน","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การจัดการ (2 ปี ต่อเนื่อง)","155081845464-4","2565"
"pwia.phk@rmutto.ac.th","Cs12345678","612818556219-7","ปวีณา","พฤกษ์ทวี","0824651360","27-10-2549","พุทธ","โรคเบาหวาน","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การจัดการ (2 ปี ต่อเนื่อง)","303480157224-4","2565"
"thnphl.sir@rmutto.ac.th","Cs12345678","485154777276-3","ธนพล","สิริวัฒน์","0600048003","5/5/2543","ไม่ระบุ","ความดันโลหิตสูง","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การจัดการ (2 ปี ต่อเนื่อง)","303480157224-4","2565"
"thwach.nph@rmutto.ac.th","Cs12345678","129394235283-2","ธวัช","นพดล","0887820195","22-04-2548","คริสต์","ความดันโลหิตสูง","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การจัดการ (2 ปี ต่อเนื่อง)","287917758551-0","2566"
"suthida.phr@rmutto.ac.th","Cs12345678","892032964738-6","สุธิดา","พรเทพ","0896823595","11/10/2549","คริสต์","ความดันโลหิตสูง","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การจัดการ (2 ปี ต่อเนื่อง)","155081845464-4","2567"
"bwr.wrp@rmutto.ac.th","Cs12345678","729389267698-6","บวร","วรพงษ์","0952734685","7/10/2549","อิสลาม","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การจัดการ (2 ปี ต่อเนื่อง)","449433545256-5","2565"
"ophiphngs.phn@rmutto.ac.th","Cs12345678","884466845698-9","อภิพงษ์","พงศกร","0884445709","6/9/2544","คริสต์","โรคเบาหวาน","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การจัดการ (2 ปี ต่อเนื่อง)","912852184298-9","2566"
"aa.phn@rmutto.ac.th","Cs12345678","211314328729-5","ณัฐฐา","พงศ์เดช","0638574094","21-03-2543","อิสลาม","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การจัดการ (2 ปี ต่อเนื่อง)","155081845464-4","2567"
"suphrri.oph@rmutto.ac.th","Cs12345678","734556678184-1","สุพรรณี","อภิชาติ","0606136452","8/5/2545","ไม่ระบุ","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การจัดการ (2 ปี ต่อเนื่อง)","449433545256-5","2565"
"phachrapha.oak@rmutto.ac.th","Cs12345678","811738492385-3","พัชราภา","อัครวัฒน์","0922829600","4/12/2543","คริสต์","โรคหัวใจ","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การจัดการ (2 ปี ต่อเนื่อง)","155081845464-4","2567"
"onucha.smb@rmutto.ac.th","Cs12345678","611464894796-5","อนุชา","สมบูรณ์","0618996923","16-05-2543","อิสลาม","ปัญหาการได้ยิน","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การจัดการ (2 ปี ต่อเนื่อง)","287917758551-0","2567"
"raphngs.wrc@rmutto.ac.th","Cs12345678","908515116862-9","รัฐพงษ์","วรชาติ","0928460886","19-05-2548","คริสต์","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การจัดการ (2 ปี ต่อเนื่อง)","287917758551-0","2566"
"jarui.pri@rmutto.ac.th","Cs12345678","559546911324-0","จารุณี","ปริญญา","0685724485","21-06-2544","อิสลาม","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การจัดการ (2 ปี ต่อเนื่อง)","303480157224-4","2567"
"jindami.chw@rmutto.ac.th","Cs12345678","923336658336-9","จินดามณี","ชวลิต","0623176817","9/4/2545","พุทธ","ไมเกรน","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การจัดการ (2 ปี ต่อเนื่อง)","449433545256-5","2567"
"ophirdi.oak@rmutto.ac.th","Cs12345678","675683662517-5","อภิรดี","อัครวัฒน์","0686536968","22-04-2547","คริสต์","โรคเบาหวาน","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การจัดการ (2 ปี ต่อเนื่อง)","155081845464-4","2567"
"wiaillaks.pri@rmutto.ac.th","Cs12345678","283017786243-9","วิไลลักษณ์","ปริญญา","0686161176","1/5/2543","อิสลาม","ปัญหาการได้ยิน","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การจัดการ (2 ปี ต่อเนื่อง)","287917758551-0","2567"
"wiaillaks.piy@rmutto.ac.th","Cs12345678","411017763824-5","วิไลลักษณ์","ปิยวัฒน์","0633557494","7/11/2545","อิสลาม","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การจัดการ (2 ปี ต่อเนื่อง)","155081845464-4","2565"
"suphrda.phi@rmutto.ac.th","Cs12345678","621038438875-2","ศุภรดา","พีรพงษ์","0942494363","4/6/2547","อิสลาม","ความดันโลหิตสูง","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การจัดการ (2 ปี ต่อเนื่อง)","449433545256-5","2567"
"athyan.chw@rmutto.ac.th","Cs12345678","281519233049-8","ณัฐธยาน์","ชวลิต","0819384176","1/9/2544","ไม่ระบุ","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การจัดการ (2 ปี ต่อเนื่อง)","287917758551-0","2566"
"phimphchnk.sur@rmutto.ac.th","Cs12345678","736575140337-7","พิมพ์ชนก","สุรศักดิ์","0987274772","26-06-2545","พุทธ","ความดันโลหิตสูง","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การตลาด","635833065906-1","2567"
"suthida.wic@rmutto.ac.th","Cs12345678","918960805919-0","สุธิดา","วิชิต","0894307968","13-01-2547","พุทธ","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การตลาด","636634313387-1","2567"
"sakda.puw@rmutto.ac.th","Cs12345678","318346634889-4","ศักดา","ปุณณวิช","0662424525","6/12/2549","คริสต์","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การตลาด","332602797672-1","2565"
"jindaphr.thn@rmutto.ac.th","Cs12345678","835025228838-8","จินดาพร","ธนกฤต","0671531870","21-04-2547","คริสต์","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การตลาด","193129348485-4","2566"
"pithan.wrw@rmutto.ac.th","Cs12345678","210194627768-2","ปณิธาน","วรวิทย์","0601527664","18-08-2545","ไม่ระบุ","ปัญหาการมองเห็น","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การตลาด","635833065906-1","2566"
"ophichya.jtu@rmutto.ac.th","Cs12345678","851280349482-0","อภิชญา","จตุพร","0642512074","22-12-2547","ไม่ระบุ","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การตลาด","636634313387-1","2566"
"suwdi.thn@rmutto.ac.th","Cs12345678","877333118985-5","สุวดี","ธนาธิป","0935072409","9/8/2543","คริสต์","โรคหัวใจ","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การตลาด","636634313387-1","2566"
"suwiml.wrw@rmutto.ac.th","Cs12345678","249600487278-7","สุวิมล","วรวิทย์","0688173312","28-01-2549","พุทธ","ภูมิแพ้","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การตลาด","193129348485-4","2567"
"wraphr.thn@rmutto.ac.th","Cs12345678","421485326299-3","วราภรณ์","ธนกฤต","0635819008","14-04-2544","คริสต์","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การตลาด","193129348485-4","2565"
"jiraphrr.sri@rmutto.ac.th","Cs12345678","639316919622-7","จิราพรรณ","ศรีสุวรรณ","0654751772","8/4/2549","พุทธ","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การตลาด","332602797672-1","2567"
"jintlaks.suk@rmutto.ac.th","Cs12345678","598954995982-3","จินตลักษณ์","สุขสวัสดิ์","0950412895","1/12/2546","คริสต์","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การตลาด","682974911675-2","2566"
"chwlit.pit@rmutto.ac.th","Cs12345678","255633194038-6","ชวลิต","ปณิธาน","0943912853","1/9/2547","อิสลาม","ความดันโลหิตสูง","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การตลาด","682974911675-2","2567"
"ssithr.wre@rmutto.ac.th","Cs12345678","262334370144-9","ศศิธร","วรเกียรติ","0810210503","16-04-2548","อิสลาม","ภูมิแพ้","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การตลาด","682974911675-2","2566"
"phngskr.phi@rmutto.ac.th","Cs12345678","380019891190-5","พงศกร","พิพัฒน์","0966160449","2/4/2548","ไม่ระบุ","โรคหอบหืด","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การตลาด","332602797672-1","2565"
"phachrapha.wic@rmutto.ac.th","Cs12345678","923108733858-2","พัชราภา","วิชิต","0960811769","4/2/2549","ไม่ระบุ","ไมเกรน","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การตลาด","682974911675-2","2567"
"suriyratn.phn@rmutto.ac.th","Cs12345678","403295279263-8","สุรีย์รัตน์","พงษ์ศักดิ์","0876264604","18-05-2549","อิสลาม","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การตลาด","682974911675-2","2565"
"kongphph.oph@rmutto.ac.th","Cs12345678","758295852889-6","ก้องภพ","อภิวัฒน์","0641425371","11/2/2547","คริสต์","โรคหอบหืด","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การตลาด","635833065906-1","2565"
"suphisra.thn@rmutto.ac.th","Cs12345678","993382476304-4","ศุภิสรา","ธนกฤต","0858294577","20-05-2546","ไม่ระบุ","ภูมิแพ้","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การตลาด","332602797672-1","2566"
"kittiphan.onu@rmutto.ac.th","Cs12345678","438132612678-4","กิตติพัฒน์","อนุชา","0822292453","11/1/2544","พุทธ","ภูมิแพ้","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การตลาด","635833065906-1","2566"
"ssithr.smb@rmutto.ac.th","Cs12345678","684531122033-2","ศศิธร","สมบูรณ์","0638998586","19-09-2549","พุทธ","โรคเบาหวาน","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การตลาด","332602797672-1","2565"
"puika.thn@rmutto.ac.th","Cs12345678","292409889475-7","ปุณิกา","ธนวัฒน์","0663235935","25-12-2547","คริสต์","โรคหัวใจ","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การตลาด","332602797672-1","2566"
"buysng.kit@rmutto.ac.th","Cs12345678","384507734627-8","บุญส่ง","กิตติพงศ์","0902165211","11/9/2545","ไม่ระบุ","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การตลาด","636634313387-1","2566"
"ophisiththi.suw@rmutto.ac.th","Cs12345678","234412355721-7","อภิสิทธิ์","สุวรรณ","0920602539","26-05-2549","พุทธ","ความดันโลหิตสูง","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การตลาด","682974911675-2","2566"
"jiraphr.phn@rmutto.ac.th","Cs12345678","493653832636-8","จิราภรณ์","พงศกร","0668317257","10/6/2544","อิสลาม","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การตลาด","635833065906-1","2567"
"thnwan.wrw@rmutto.ac.th","Cs12345678","559943808342-8","ธนวัฒน์","วรวิทย์","0688786623","5/9/2547","อิสลาม","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การตลาด","636634313387-1","2565"
"orthay.wrp@rmutto.ac.th","Cs12345678","623511335240-1","อรทัย","วรพงษ์","0928080930","23-10-2549","พุทธ","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การตลาด","635833065906-1","2567"
"jarui.wrp@rmutto.ac.th","Cs12345678","113530595103-7","จารุณี","วรพล","0666175928","20-06-2544","คริสต์","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การตลาด","635833065906-1","2567"
"oariratn.pay@rmutto.ac.th","Cs12345678","824623939832-8","อารีรัตน์","ปัญญาวงศ์","0881101483","15-03-2549","ไม่ระบุ","ความดันโลหิตสูง","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การตลาด","682974911675-2","2566"
