Users_Email,Users_Password,Teacher_Code,Teacher_FirstName,Teacher_LastName,Teacher_Birthdate,Teacher_Religion,Teacher_MedicalProblem,Faculty_Name,Department_Name,Teacher_IsDean
thanuanot.tha@rmutto.ac.th,Cs12345678,682974911675-2,ธนวันต์,ธนรักษ์,5/5/1974,อิสลาม,,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,การตลาด,FALSE
romta.cha@rmutto.ac.th,Cs12345678,332602797672-1,รมิตา,ไชยภา,1/5/1995,พุทธ,,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,การตลาด,FALSE
chonyachot.tho@rmutto.ac.th,Cs12345678,152437277812-4,จริยฉัตร,ทองสุกเลิศ,27/10/1991,อิสลาม,เบาหวาน,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,การตลาด ,FALSE
krekphon.tha@rmutto.ac.th,Cs12345678,642312664892-5,เกริกพล,แถมธน,21/1/1982,อิสลาม,,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,การตลาด ,FALSE
natt.non@rmutto.ac.th,Cs12345678,227571974148-8,นิรุตต์,นิลวรรณ,1/4/1967,คริสต์,ความดันโลหิตสูง,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,การตลาด ,FALSE
sopha.tho@rmutto.ac.th,Cs12345678,964372653902-2,โสภา,ทรัพย์สาร,11/11/1967,พุทธ,,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,การตลาด ,FALSE
phasa.sar@rmutto.ac.th,Cs12345678,803982487249-9,พัสวี,สาระพันธ์,13/11/1994,พุทธ,,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,การตลาด ,FALSE
phropthan.wal@rmutto.ac.th,Cs12345678,366969416850-3,พีรพัฒน์,วิลาสินี,11/4/1965,พุทธ,ความดันโลหิตสูง,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,การบัญชี,FALSE
chenlamrot.kae@rmutto.ac.th,Cs12345678,554688326168-0,เฉลิมรัฐ,แก้วอยู่,12/5/1976,พุทธ,,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,การบัญชี,FALSE
ketra.tho@rmutto.ac.th,Cs12345678,174535731164-6,เกศรา,ทองลาภ,31/7/1980,คริสต์,,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,การบัญชี,FALSE
athataya.pho@rmutto.ac.th,Cs12345678,431398638300-6,อธิตยา,โพธิสัตย์,5/10/1980,พุทธ,,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,การบัญชี,FALSE
pathawakanot.cho@rmutto.ac.th,Cs12345678,467738310725-2,ปฐวีกานต์,ฉิมพาลี,26/3/1989,คริสต์,เบาหวาน,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,การบัญชี,FALSE
wotchakon.tra@rmutto.ac.th,Cs12345678,487773809679-4,วิชชากร,ตระกูลไม้เรียง,6/10/1965,พุทธ,,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,การบัญชี ,FALSE
phomphotta.nop@rmutto.ac.th,Cs12345678,910574237044-5,พิมพ์สุตา,นพตระกูล,12/12/1975,อิสลาม,,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,การบัญชี ,FALSE
haruethay.saw@rmutto.ac.th,Cs12345678,376448720378-9,หฤทัย,ศิวะวรเวท,5/3/1982,พุทธ,,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,การบัญชี ,FALSE
rakaiyaha.ner@rmutto.ac.th,Cs12345678,153499773324-8,รูไกยะฮ์,เณรานุสนธิ์,25/6/1985,คริสต์,เบาหวาน,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,การบัญชี ,FALSE
wanan.tha@rmutto.ac.th,Cs12345678,830796292266-2,วนาลี,ถนอมพล,1/1/1989,อิสลาม,,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,การบัญชี ,FALSE
onchottha.alo@rmutto.ac.th,Cs12345678,950523919547-6,อัญชิษฐา,อุลหัสสา,30/7/1974,อิสลาม,,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,การโฆษณาและประชาสัมพันธ์,FALSE
chot.tho@rmutto.ac.th,Cs12345678,400189081662-8,จด,ทรัพย์สาร,12/3/1965,พุทธ,ความดันโลหิตสูง,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,การโฆษณาและประชาสัมพันธ์,FALSE
phorasawak.tha@rmutto.ac.th,Cs12345678,394665045778-3,พรสวรรค์,ถนัดอาวุธ,8/11/1977,อิสลาม,ความดันโลหิตสูง,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,การโฆษณาและประชาสัมพันธ์,FALSE
kuladilok.tha@rmutto.ac.th,Cs12345678,892072255870-0,กุลดิลก,ถาวรรัตน,17/6/1967,คริสต์,ความดันโลหิตสูง,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,การโฆษณาและประชาสัมพันธ์,FALSE
kaset.tha@rmutto.ac.th,Cs12345678,525054465882-6,เกษตร,ธาราธร,5/2/1968,คริสต์,,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,การโฆษณาและประชาสัมพันธ์,FALSE
narandon.sor@rmutto.ac.th,Cs12345678,722908383143-0,นิรันดร์,ศรีเผด็จ,14/9/1966,พุทธ,,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,มัลติมีเดีย,FALSE
yanongkhran.tha@rmutto.ac.th,Cs12345678,783985492737-8,ยนงคราญ,ถนอมพล,30/12/1966,พุทธ,,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,มัลติมีเดีย,FALSE
photphan.thu@rmutto.ac.th,Cs12345678,145886712980-2,พิศพรรณ,ธีวร,31/12/1992,คริสต์,,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,มัลติมีเดีย,FALSE
thorasara.por@rmutto.ac.th,Cs12345678,977401290890-6,ธีริสรา,ปรีชากุลเศรษฐ์,16/11/1975,อิสลาม,,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,มัลติมีเดีย,FALSE
chonyachot.tho@rmutto.ac.th,Cs12345678,588178009352-2,จริยฉัตร,ธนประทีป,9/8/1968,คริสต์,ความดันโลหิตสูง,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,มัลติมีเดีย,FALSE
kongkaeo.tha@rmutto.ac.th,Cs12345678,394068122946-7,กิ่งแก้ว,ธูปะวิโรจน์,19/12/1993,อิสลาม,,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,ระบบสารสนเทศทางคอมพิวเตอร์-คอมพิวเตอร์ธุรกิจ,FALSE
bonklop.yap@rmutto.ac.th,Cs12345678,442463001732-2,บุญญกัลป์,ยาปะโลหิต,29/6/1989,อิสลาม,,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,ระบบสารสนเทศทางคอมพิวเตอร์-คอมพิวเตอร์ธุรกิจ,FALSE
sakritta.nay@rmutto.ac.th,Cs12345678,324668104053-7,สุกฤษตา,นิยมสำหรวจ,24/5/1995,อิสลาม,ความดันโลหิตสูง,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,ระบบสารสนเทศทางคอมพิวเตอร์-คอมพิวเตอร์ธุรกิจ,FALSE
chonyathot.tha@rmutto.ac.th,Cs12345678,310632951917-6,จีรยุทธ,ถนัดการเขียน,19/3/1970,คริสต์,,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,ระบบสารสนเทศทางคอมพิวเตอร์-คอมพิวเตอร์ธุรกิจ,FALSE
payanat.nom@rmutto.ac.th,Cs12345678,270944691580-8,ปิยนาฎ,นุ่มกัน,21/5/1983,คริสต์,ความดันโลหิตสูง,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,ระบบสารสนเทศทางคอมพิวเตอร์-คอมพิวเตอร์ธุรกิจ,FALSE
thanomchoi.nay@rmutto.ac.th,Cs12345678,442903467591-2,ถนอมชัย,นิยมเซียม,28/7/1975,พุทธ,,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,ระบบสารสนเทศทางคอมพิวเตอร์-คอมพิวเตอร์ธุรกิจ ,FALSE
otchatawon.sai@rmutto.ac.th,Cs12345678,950815441310-8,อชิตะวีร์,ไสยกิจ,16/3/1985,คริสต์,,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,ระบบสารสนเทศทางคอมพิวเตอร์-คอมพิวเตอร์ธุรกิจ ,FALSE
chotcha.nak@rmutto.ac.th,Cs12345678,722268739363-3,ชัฎชา,นครเทพ,23/1/1988,พุทธ,,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,ระบบสารสนเทศทางคอมพิวเตอร์-คอมพิวเตอร์ธุรกิจ ,FALSE
netrrit.nok@rmutto.ac.th,Cs12345678,881928226074-1,เนตรฤดี,นกทอง,26/7/1982,อิสลาม,,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,ระบบสารสนเทศทางคอมพิวเตอร์-คอมพิวเตอร์ธุรกิจ ,FALSE
woraprachon.tho@rmutto.ac.th,Cs12345678,144123498531-8,วรปรัชญ์,ธูปหอม,7/7/1967,คริสต์,,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,ระบบสารสนเทศทางคอมพิวเตอร์-คอมพิวเตอร์ธุรกิจ ,FALSE
konpraya.kho@rmutto.ac.th,Cs12345678,317336807383-5,กุลปรียา,ขุนดำ,1/12/1968,อิสลาม,,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,วิทยาการคอมพิวเตอร์,FALSE
phomponya.tho@rmutto.ac.th,Cs12345678,650841777744-9,ภูมิปัญญา,ถมปัด,25/8/1986,พุทธ,เบาหวาน,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,วิทยาการคอมพิวเตอร์,FALSE
pathawakanot.tho@rmutto.ac.th,Cs12345678,625177706970-0,ปฐวีกานต์,ถนัดรบ,31/5/1987,คริสต์,,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,วิทยาการคอมพิวเตอร์,FALSE
phadongchat.tec@rmutto.ac.th,Cs12345678,671757924287-0,ผดุงชาติ,เตชะกำพุ,21/1/1969,คริสต์,,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,วิทยาการคอมพิวเตอร์,TRUE
nattaya.saw@rmutto.ac.th,Cs12345678,269056064751-7,นาตยา,สุวรรณหงษ์,8/1/1974,พุทธ,ความดันโลหิตสูง,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,วิทยาการคอมพิวเตอร์,FALSE
thayamat.tem@rmutto.ac.th,Cs12345678,987936442370-3,ธัญญามาศ,เตมิยะเดช,14/12/1984,อิสลาม,ความดันโลหิตสูง,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,เทคโนโลยีคอมพิวเตอร์,FALSE
sarocha.pan@rmutto.ac.th,Cs12345678,802749892970-7,สโรชา,ปานสุวรรณ,28/3/1975,พุทธ,เบาหวาน,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,เทคโนโลยีคอมพิวเตอร์,FALSE
matto.nak@rmutto.ac.th,Cs12345678,219011389114-7,มาซีเตาะ,นครเทพ,17/5/1979,พุทธ,,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,เทคโนโลยีคอมพิวเตอร์,FALSE
soncha.nak@rmutto.ac.th,Cs12345678,122925509510-7,สันชัย,นากกนก,30/6/1988,คริสต์,,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,เทคโนโลยีคอมพิวเตอร์,FALSE
yottan.dor@rmutto.ac.th,Cs12345678,897137882092-2,โยธิการ์,ดุริยพันธุ์,15/6/1975,อิสลาม,,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,เทคโนโลยีคอมพิวเตอร์,FALSE
phonbenya.tho@rmutto.ac.th,Cs12345678,618227101338-1,พรเบญญา,ทองประดิฐ,16/11/1977,พุทธ,,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,เทคโนโลยีสารสนเทศ,FALSE
nason.noe@rmutto.ac.th,Cs12345678,288970623568-5,นัสรุน,เนื่องนนท์,23/1/1989,คริสต์,เบาหวาน,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,เทคโนโลยีสารสนเทศ,FALSE
warachot.tua@rmutto.ac.th,Cs12345678,472971470280-0,วีระโชติ,ตวันเยี่ยม,2/4/1994,อิสลาม,เบาหวาน,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,เทคโนโลยีสารสนเทศ,FALSE
phadongphon.nak@rmutto.ac.th,Cs12345678,732463347307-6,ผดุงพล,นครเทพ,10/8/1984,อิสลาม,,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,เทคโนโลยีสารสนเทศ,FALSE
natton.phr@rmutto.ac.th,Cs12345678,625842974197-4,นรีรัตน์,พีระเพ็ญกุล,24/11/1983,พุทธ,,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,เทคโนโลยีสารสนเทศ,FALSE
bonthoeyen.cha@rmutto.ac.th,Cs12345678,786257909750-2,บุญเทียน,ไชยภา,3/2/1977,พุทธ,,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,เทคโนโลยีโลจิสติกส์และการจัดการระบบขนส่ง,FALSE
chonthonthopha.tho@rmutto.ac.th,Cs12345678,629083501203-2,ชรินทร์ทิพย์,ถุงเงิน,29/5/1973,พุทธ,,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,เทคโนโลยีโลจิสติกส์และการจัดการระบบขนส่ง,FALSE
a-aeso.nop@rmutto.ac.th,Cs12345678,789839257012-5,อาแอเสาะ,นพคเชนทร์,27/4/1975,พุทธ,,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,เทคโนโลยีโลจิสติกส์และการจัดการระบบขนส่ง,FALSE
chetthanakon.tha@rmutto.ac.th,Cs12345678,484527218572-6,เจตธนากร,ทันยุค,14/4/1975,คริสต์,เบาหวาน,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,เทคโนโลยีโลจิสติกส์และการจัดการระบบขนส่ง,FALSE
wonlop.bon@rmutto.ac.th,Cs12345678,199205142999-4,วัลลภ,บุนยะตีรณะ,14/12/1989,คริสต์,,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,เทคโนโลยีโลจิสติกส์และการจัดการระบบขนส่ง,FALSE
son.dap@rmutto.ac.th,Cs12345678,510575730455-9,สิริ,ดาบเพ็ชร์,27/8/1982,พุทธ,ความดันโลหิตสูง,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,เศรษฐศาสตร์,FALSE
narawan.ton@rmutto.ac.th,Cs12345678,651543505435-6,นราวรรณ,ตันตราจิณ,23/8/1969,อิสลาม,,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,เศรษฐศาสตร์,FALSE
phasuat.nat@rmutto.ac.th,Cs12345678,896591513578-8,ภาสวุฒิ,นาถะเดชะ,13/12/1985,อิสลาม,,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,เศรษฐศาสตร์,FALSE
onchon.tha@rmutto.ac.th,Cs12345678,570146653886-2,อัญชัญ,ไทนิยม,9/7/1986,อิสลาม,,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,เศรษฐศาสตร์,FALSE
raphatpong.nop@rmutto.ac.th,Cs12345678,975226267662-8,รภัสพงษ์,นพตระกูล,4/4/1989,อิสลาม,,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,เศรษฐศาสตร์,FALSE
