Users_Email,Users_Password,Student_Code,Student_FirstName,Student_LastName,Student_Birthdate,Student_Religion,Student_MedicalProblem,Faculty_Name,Department_Name,Teacher_Code,Student_AcademicYear
jirphan.pit@rmutto.ac.th,Cs12345678,521855269978-0,จิรพัฒน์,ปิติศักดิ์,13/8/2543,อิสลาม,,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,เทคโนโลยีคอมพิวเตอร์,802749892970-7,2566
wrrpha.thr@rmutto.ac.th,Cs12345678,321228566381-9,วรรณภา,ธรรมโชติ,3/7/2544,พุทธ,โรคหัวใจ,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,เทคโนโลยีสารสนเทศ,472971470280-0,2566
santisukh.pha@rmutto.ac.th,Cs12345678,667172517301-2,สันติสุข,ภักดี,18/5/2546,อิสลาม,,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,เทคโนโลยีสารสนเทศ,732463347307-6,2567
sunantha.jak@rmutto.ac.th,Cs12345678,942754526699-5,สุนันทา,จักรินทร์,25/6/2549,พุทธ,,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,เทคโนโลยีสารสนเทศ,472971470280-0,2565
ejsa.phn@rmutto.ac.th,Cs12345678,541852717768-3,เจษฎา,พงศ์เดช,20/2/2549,คริสต์,โรคเบาหวาน,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,เทคโนโลยีสารสนเทศ,288970623568-5,2567
ophichay.thi@rmutto.ac.th,Cs12345678,172327541251-7,อภิชัย,ธีรพัฒน์,22/11/2549,อิสลาม,โรคเบาหวาน,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,เทคโนโลยีสารสนเทศ,625842974197-4,2565
prems.sur@rmutto.ac.th,Cs12345678,654027530864-0,ปรเมศ,สุริยะ,26/4/2545,พุทธ,โรคหัวใจ,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,เทคโนโลยีสารสนเทศ,472971470280-0,2565
parichati.phk@rmutto.ac.th,Cs12345678,583943983784-5,ปาริชาติ,พฤกษ์ทวี,25/6/2546,ไม่ระบุ,ไมเกรน,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,เทคโนโลยีสารสนเทศ,732463347307-6,2567
jintphr.thn@rmutto.ac.th,Cs12345678,542495991842-2,จินตพร,ธนวัฒน์,19/8/2546,พุทธ,ไมเกรน,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,เทคโนโลยีสารสนเทศ,288970623568-5,2565
phumi.thn@rmutto.ac.th,Cs12345678,479115908420-4,ภูมิ,ธนากร,16/4/2547,คริสต์,,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,เทคโนโลยีสารสนเทศ,618227101338-1,2567
ejsa.sak@rmutto.ac.th,Cs12345678,116516366771-3,เจษฎา,ศักดากร,5/1/2547,พุทธ,ปัญหาการมองเห็น,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,เทคโนโลยีสารสนเทศ,288970623568-5,2567
ssithr.thw@rmutto.ac.th,Cs12345678,191673674325-6,ศศิธร,ทวีโชติ,20/8/2548,ไม่ระบุ,,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,เทคโนโลยีสารสนเทศ,288970623568-5,2566
onucha.oak@rmutto.ac.th,Cs12345678,972002430621-2,อนุชา,อัครพล,5/6/2543,คริสต์,,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,เทคโนโลยีสารสนเทศ,288970623568-5,2567
phrethph.kit@rmutto.ac.th,Cs12345678,452869284606-6,พรเทพ,กิตติศักดิ์,5/5/2548,อิสลาม,ปัญหาการมองเห็น,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,เทคโนโลยีสารสนเทศ,625842974197-4,2567
kantthira.wis@rmutto.ac.th,Cs12345678,211116265749-8,กานต์ธีรา,วิศรุต,1/2/2548,อิสลาม,,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,เทคโนโลยีสารสนเทศ,625842974197-4,2567
ssithr.nph@rmutto.ac.th,Cs12345678,258804785341-0,ศศิธร,นฤพนธ์,10/8/2544,คริสต์,ไมเกรน,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,เทคโนโลยีสารสนเทศ,288970623568-5,2565
thnakr.pha@rmutto.ac.th,Cs12345678,928644791562-6,ธนากร,ภัทรพงษ์,9/4/2546,อิสลาม,โรคหอบหืด,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,เทคโนโลยีสารสนเทศ,472971470280-0,2565
wrphngs.oak@rmutto.ac.th,Cs12345678,945218629696-0,วรพงศ์,อัครพล,6/2/2549,คริสต์,ความดันโลหิตสูง,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,เทคโนโลยีสารสนเทศ,472971470280-0,2567
suriyratn.cha@rmutto.ac.th,Cs12345678,981274891920-3,สุรีย์รัตน์,ชัยวัฒนา,18/11/2548,ไม่ระบุ,ปัญหาการได้ยิน,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,เทคโนโลยีสารสนเทศ,618227101338-1,2567
thnakr.rat@rmutto.ac.th,Cs12345678,778636137071-1,ธนากร,รัตนประเสริฐ,28/3/2547,คริสต์,,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,เทคโนโลยีสารสนเทศ,472971470280-0,2566
smbur.thn@rmutto.ac.th,Cs12345678,905510698742-8,สมบูรณ์,ธนกร,26/12/2549,อิสลาม,ความดันโลหิตสูง,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,เทคโนโลยีสารสนเทศ,288970623568-5,2566
jindaphr.wrp@rmutto.ac.th,Cs12345678,713155634951-9,จินดาพร,วรพล,2/9/2545,ไม่ระบุ,,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,เทคโนโลยีสารสนเทศ,625842974197-4,2566
jaruwrr.sup@rmutto.ac.th,Cs12345678,465633477424-2,จารุวรรณ,ศุภศักดิ์,22/5/2546,พุทธ,,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,เทคโนโลยีสารสนเทศ,618227101338-1,2567
ophiraks.oak@rmutto.ac.th,Cs12345678,143049772952-1,อภิรักษ์,อัครพล,8/11/2546,ไม่ระบุ,,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,เทคโนโลยีสารสนเทศ,732463347307-6,2565
aa.aph@rmutto.ac.th,Cs12345678,791444483492-7,ณัฐฐา,ณัฐพงษ์,21/7/2543,อิสลาม,ความดันโลหิตสูง,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,เทคโนโลยีสารสนเทศ,618227101338-1,2565
thiredch.jak@rmutto.ac.th,Cs12345678,316670760872-1,ธีรเดช,จักรพงศ์,12/5/2544,คริสต์,ภูมิแพ้,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,เทคโนโลยีสารสนเทศ,472971470280-0,2567
chyphl.pha@rmutto.ac.th,Cs12345678,140287126509-4,ชยพล,ภัทรพงษ์,13/8/2545,ไม่ระบุ,,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,เทคโนโลยีสารสนเทศ,625842974197-4,2567
jirphathr.kit@rmutto.ac.th,Cs12345678,758927382275-7,จิรภัทร,กิตติพงษ์,2/7/2545,อิสลาม,ปัญหาการมองเห็น,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,เทคโนโลยีสารสนเทศ,625842974197-4,2567
jiraphrr.sir@rmutto.ac.th,Cs12345678,113147127539-1,จิราพรรณ,ศิริชัย,25/8/2543,อิสลาม,ไมเกรน,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,เทคโนโลยีสารสนเทศ,625842974197-4,2567
raphngs.wrp@rmutto.ac.th,Cs12345678,553666807738-7,รัฐพงษ์,วรพล,4/8/2548,ไม่ระบุ,ปัญหาการได้ยิน,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,เทคโนโลยีสารสนเทศ,472971470280-0,2565
chyphl.phi@rmutto.ac.th,Cs12345678,435854389099-6,ชยพล,พีรพัฒน์,28/3/2546,พุทธ,โรคหัวใจ,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,เทคโนโลยีสารสนเทศ,618227101338-1,2566
wrrpha.kit@rmutto.ac.th,Cs12345678,294931881772-4,วรรณภา,กิตติศักดิ์,27/12/2546,ไม่ระบุ,ภูมิแพ้,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,เทคโนโลยีสารสนเทศ,732463347307-6,2566
phimphchnk.onu@rmutto.ac.th,Cs12345678,728080860365-8,พิมพ์ชนก,อนุชา,20/11/2548,พุทธ,โรคหอบหืด,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,เทคโนโลยีสารสนเทศ,618227101338-1,2567
wrayya.thn@rmutto.ac.th,Cs12345678,199325404243-7,วรัญญา,ธนพงษ์,20/6/2548,คริสต์,,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,เทคโนโลยีสารสนเทศ,732463347307-6,2567
eokrach.wrw@rmutto.ac.th,Cs12345678,981957961705-1,เอกราช,วรวิชญ์,18/8/2543,อิสลาม,,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,เทคโนโลยีสารสนเทศ,625842974197-4,2567
sunisa.pri@rmutto.ac.th,Cs12345678,273263180096-9,สุนิสา,ปริญญา,20/3/2543,พุทธ,,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,เทคโนโลยีสารสนเทศ,472971470280-0,2567
wiaillaks.sit@rmutto.ac.th,Cs12345678,194513381585-9,วิไลลักษณ์,สิทธิชัย,1/9/2547,พุทธ,ปัญหาการมองเห็น,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,เทคโนโลยีสารสนเทศ,625842974197-4,2565
suphwichy.pit@rmutto.ac.th,Cs12345678,103737799686-9,ศุภวิชญ์,ปิติศักดิ์,27/2/2549,อิสลาม,,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,เทคโนโลยีสารสนเทศ,732463347307-6,2566
nbdinthr.phr@rmutto.ac.th,Cs12345678,651953588720-0,นฤบดินทร์,พรเทพ,28/3/2548,ไม่ระบุ,โรคเบาหวาน,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,เทคโนโลยีสารสนเทศ,618227101338-1,2566
suwiml.phi@rmutto.ac.th,Cs12345678,901682714289-3,สุวิมล,พีรพล,7/10/2547,อิสลาม,,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,เทคโนโลยีสารสนเทศ,288970623568-5,2565
aphngs.wrp@rmutto.ac.th,Cs12345678,147840527904-9,ณัฐพงษ์,วรพงษ์,6/3/2545,อิสลาม,,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,เทคโนโลยีสารสนเทศ,472971470280-0,2565
chutima.rat@rmutto.ac.th,Cs12345678,969156541800-1,ชุติมา,รัตนประเสริฐ,11/8/2547,ไม่ระบุ,,บริหารธุรกิจและเทคโนโลยีสารสนเทศ,เทคโนโลยีสารสนเทศ,472971470280-0,2566
