"Users_Email","Users_Password","Teacher_Code","Teacher_FirstName","Teacher_LastName","Teacher_Phone","Teacher_Birthdate","Teacher_Religion","Teacher_MedicalProblem","Faculty_Name","Department_Name","Teacher_IsDean"
"nachon.nat@rmutto.ac.th","Cs12345678","193129348485-4","นุจรี","นาฏคายี","0785147516","10/1/1980","คริสต์","ความดันโลหิตสูง","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การตลาด","FALSE"
"thanuanot.tha@rmutto.ac.th","Cs12345678","682974911675-2","ธนวันต์","ธนรักษ์","0769627740","5/5/1974","อิสลาม","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การตลาด","FALSE"
"romta.cha@rmutto.ac.th","Cs12345678","332602797672-1","รมิตา","ไชยภา","0921987350","1/5/1995","พุทธ","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การตลาด","FALSE"
"chonyachot.tho@rmutto.ac.th","Cs12345678","152437277812-4","จริยฉัตร","ทองสุกเลิศ","0791962741","27-10-1991","อิสลาม","เบาหวาน","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การตลาด (2 ปี ต่อเนื่อง)","FALSE"
"krekphon.tha@rmutto.ac.th","Cs12345678","642312664892-5","เกริกพล","แถมธน","0755815080","21-01-1982","อิสลาม","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การตลาด (2 ปี ต่อเนื่อง)","FALSE"
"natt.non@rmutto.ac.th","Cs12345678","227571974148-8","นิรุตต์","นิลวรรณ","0724469978","1/4/1967","คริสต์","ความดันโลหิตสูง","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การตลาด (2 ปี ต่อเนื่อง)","FALSE"
"sopha.tho@rmutto.ac.th","Cs12345678","964372653902-2","โสภา","ทรัพย์สาร","0642677157","11/11/1967","พุทธ","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การตลาด (2 ปี ต่อเนื่อง)","FALSE"
"phasa.sar@rmutto.ac.th","Cs12345678","803982487249-9","พัสวี","สาระพันธ์","0714240750","13-11-1994","พุทธ","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การตลาด (2 ปี ต่อเนื่อง)","FALSE"
"phropthan.wal@rmutto.ac.th","Cs12345678","366969416850-3","พีรพัฒน์","วิลาสินี","0709200401","11/4/1965","พุทธ","ความดันโลหิตสูง","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การบัญชี","FALSE"
"chenlamrot.kae@rmutto.ac.th","Cs12345678","554688326168-0","เฉลิมรัฐ","แก้วอยู่","0685062194","12/5/1976","พุทธ","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การบัญชี","FALSE"
"ketra.tho@rmutto.ac.th","Cs12345678","174535731164-6","เกศรา","ทองลาภ","0662380481","31-07-1980","คริสต์","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การบัญชี","FALSE"
"athataya.pho@rmutto.ac.th","Cs12345678","431398638300-6","อธิตยา","โพธิสัตย์","0620214983","5/10/1980","พุทธ","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การบัญชี","FALSE"
"pathawakanot.cho@rmutto.ac.th","Cs12345678","467738310725-2","ปฐวีกานต์","ฉิมพาลี","0707495619","26-03-1989","คริสต์","เบาหวาน","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การบัญชี","FALSE"
"wotchakon.tra@rmutto.ac.th","Cs12345678","487773809679-4","วิชชากร","ตระกูลไม้เรียง","0752073330","6/10/1965","พุทธ","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การบัญชี (2 ปี ต่อเนื่อง)","FALSE"
"phomphotta.nop@rmutto.ac.th","Cs12345678","910574237044-5","พิมพ์สุตา","นพตระกูล","0831223434","12/12/1975","อิสลาม","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การบัญชี (2 ปี ต่อเนื่อง)","FALSE"
"haruethay.saw@rmutto.ac.th","Cs12345678","376448720378-9","หฤทัย","ศิวะวรเวท","0986246389","5/3/1982","พุทธ","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การบัญชี (2 ปี ต่อเนื่อง)","FALSE"
"rakaiyaha.ner@rmutto.ac.th","Cs12345678","153499773324-8","รูไกยะฮ์","เณรานุสนธิ์","0915140933","25-06-1985","คริสต์","เบาหวาน","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การบัญชี (2 ปี ต่อเนื่อง)","FALSE"
"wanan.tha@rmutto.ac.th","Cs12345678","830796292266-2","วนาลี","ถนอมพล","0839205693","1/1/1989","อิสลาม","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การบัญชี (2 ปี ต่อเนื่อง)","FALSE"
"onchottha.alo@rmutto.ac.th","Cs12345678","950523919547-6","อัญชิษฐา","อุลหัสสา","0929304383","30-07-1974","อิสลาม","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การโฆษณาและประชาสัมพันธ์","FALSE"
"chot.tho@rmutto.ac.th","Cs12345678","400189081662-8","จด","ทรัพย์สาร","0855999814","12/3/1965","พุทธ","ความดันโลหิตสูง","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การโฆษณาและประชาสัมพันธ์","FALSE"
"phorasawak.tha@rmutto.ac.th","Cs12345678","394665045778-3","พรสวรรค์","ถนัดอาวุธ","0606351626","8/11/1977","อิสลาม","ความดันโลหิตสูง","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การโฆษณาและประชาสัมพันธ์","FALSE"
"kuladilok.tha@rmutto.ac.th","Cs12345678","892072255870-0","กุลดิลก","ถาวรรัตน","0721072899","17-06-1967","คริสต์","ความดันโลหิตสูง","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การโฆษณาและประชาสัมพันธ์","FALSE"
"kaset.tha@rmutto.ac.th","Cs12345678","525054465882-6","เกษตร","ธาราธร","0745094821","5/2/1968","คริสต์","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","การโฆษณาและประชาสัมพันธ์","FALSE"
"narandon.sor@rmutto.ac.th","Cs12345678","722908383143-0","นิรันดร์","ศรีเผด็จ","0692991409","14-09-1966","พุทธ","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","มัลติมีเดีย","FALSE"
"yanongkhran.tha@rmutto.ac.th","Cs12345678","783985492737-8","ยนงคราญ","ถนอมพล","0668913783","30-12-1966","พุทธ","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","มัลติมีเดีย","FALSE"
"photphan.thu@rmutto.ac.th","Cs12345678","145886712980-2","พิศพรรณ","ธีวร","0703118329","31-12-1992","คริสต์","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","มัลติมีเดีย","FALSE"
"thorasara.por@rmutto.ac.th","Cs12345678","977401290890-6","ธีริสรา","ปรีชากุลเศรษฐ์","0882138391","16-11-1975","อิสลาม","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","มัลติมีเดีย","FALSE"
"chonyachot.tho@rmutto.ac.th","Cs12345678","588178009352-2","จริยฉัตร","ธนประทีป","0871852085","9/8/1968","คริสต์","ความดันโลหิตสูง","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","มัลติมีเดีย","FALSE"
"kongkaeo.tha@rmutto.ac.th","Cs12345678","394068122946-7","กิ่งแก้ว","ธูปะวิโรจน์","0823435048","19-12-1993","อิสลาม","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","ระบบสารสนเทศทางคอมพิวเตอร์-คอมพิวเตอร์ธุรกิจ","FALSE"
"bonklop.yap@rmutto.ac.th","Cs12345678","442463001732-2","บุญญกัลป์","ยาปะโลหิต","0652093754","29-06-1989","อิสลาม","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","ระบบสารสนเทศทางคอมพิวเตอร์-คอมพิวเตอร์ธุรกิจ","FALSE"
"sakritta.nay@rmutto.ac.th","Cs12345678","324668104053-7","สุกฤษตา","นิยมสำหรวจ","0940979514","24-05-1995","อิสลาม","ความดันโลหิตสูง","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","ระบบสารสนเทศทางคอมพิวเตอร์-คอมพิวเตอร์ธุรกิจ","FALSE"
"chonyathot.tha@rmutto.ac.th","Cs12345678","310632951917-6","จีรยุทธ","ถนัดการเขียน","0986310922","19-03-1970","คริสต์","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","ระบบสารสนเทศทางคอมพิวเตอร์-คอมพิวเตอร์ธุรกิจ","FALSE"
"payanat.nom@rmutto.ac.th","Cs12345678","270944691580-8","ปิยนาฎ","นุ่มกัน","0737661992","21-05-1983","คริสต์","ความดันโลหิตสูง","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","ระบบสารสนเทศทางคอมพิวเตอร์-คอมพิวเตอร์ธุรกิจ","FALSE"
"thanomchoi.nay@rmutto.ac.th","Cs12345678","442903467591-2","ถนอมชัย","นิยมเซียม","0686075048","28-07-1975","พุทธ","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","ระบบสารสนเทศทางคอมพิวเตอร์-คอมพิวเตอร์ธุรกิจ (2 ปี ต่อเนื่อง)","FALSE"
"otchatawon.sai@rmutto.ac.th","Cs12345678","950815441310-8","อชิตะวีร์","ไสยกิจ","0734087957","16-03-1985","คริสต์","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","ระบบสารสนเทศทางคอมพิวเตอร์-คอมพิวเตอร์ธุรกิจ (2 ปี ต่อเนื่อง)","FALSE"
"chotcha.nak@rmutto.ac.th","Cs12345678","722268739363-3","ชัฎชา","นครเทพ","0779153186","23-01-1988","พุทธ","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","ระบบสารสนเทศทางคอมพิวเตอร์-คอมพิวเตอร์ธุรกิจ (2 ปี ต่อเนื่อง)","FALSE"
"netrrit.nok@rmutto.ac.th","Cs12345678","881928226074-1","เนตรฤดี","นกทอง","0917591523","26-07-1982","อิสลาม","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","ระบบสารสนเทศทางคอมพิวเตอร์-คอมพิวเตอร์ธุรกิจ (2 ปี ต่อเนื่อง)","FALSE"
"woraprachon.tho@rmutto.ac.th","Cs12345678","144123498531-8","วรปรัชญ์","ธูปหอม","0992709280","7/7/1967","คริสต์","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","ระบบสารสนเทศทางคอมพิวเตอร์-คอมพิวเตอร์ธุรกิจ (2 ปี ต่อเนื่อง)","FALSE"
"konpraya.kho@rmutto.ac.th","Cs12345678","317336807383-5","กุลปรียา","ขุนดำ","0769325650","1/12/1968","อิสลาม","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","วิทยาการคอมพิวเตอร์","FALSE"
"phomponya.tho@rmutto.ac.th","Cs12345678","650841777744-9","ภูมิปัญญา","ถมปัด","0863684737","25-08-1986","พุทธ","เบาหวาน","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","วิทยาการคอมพิวเตอร์","FALSE"
"pathawakanot.tho@rmutto.ac.th","Cs12345678","625177706970-0","ปฐวีกานต์","ถนัดรบ","0749018616","31-05-1987","คริสต์","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","วิทยาการคอมพิวเตอร์","FALSE"
"phadongchat.tec@rmutto.ac.th","Cs12345678","671757924287-0","ผดุงชาติ","เตชะกำพุ","0858013074","21-01-1969","คริสต์","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","วิทยาการคอมพิวเตอร์","TRUE"
"nattaya.saw@rmutto.ac.th","Cs12345678","269056064751-7","นาตยา","สุวรรณหงษ์","0890364274","8/1/1974","พุทธ","ความดันโลหิตสูง","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","วิทยาการคอมพิวเตอร์","FALSE"
"thayamat.tem@rmutto.ac.th","Cs12345678","987936442370-3","ธัญญามาศ","เตมิยะเดช","0955364240","14-12-1984","อิสลาม","ความดันโลหิตสูง","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","เทคโนโลยีคอมพิวเตอร์","FALSE"
"sarocha.pan@rmutto.ac.th","Cs12345678","802749892970-7","สโรชา","ปานสุวรรณ","0783867511","28-03-1975","พุทธ","เบาหวาน","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","เทคโนโลยีคอมพิวเตอร์","FALSE"
"matto.nak@rmutto.ac.th","Cs12345678","219011389114-7","มาซีเตาะ","นครเทพ","0809643148","17-05-1979","พุทธ","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","เทคโนโลยีคอมพิวเตอร์","FALSE"
"soncha.nak@rmutto.ac.th","Cs12345678","122925509510-7","สันชัย","นากกนก","0804473102","30-06-1988","คริสต์","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","เทคโนโลยีคอมพิวเตอร์","FALSE"
"yottan.dor@rmutto.ac.th","Cs12345678","897137882092-2","โยธิการ์","ดุริยพันธุ์","0853258809","15-06-1975","อิสลาม","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","เทคโนโลยีคอมพิวเตอร์","FALSE"
"phonbenya.tho@rmutto.ac.th","Cs12345678","618227101338-1","พรเบญญา","ทองประดิฐ","0881143092","16-11-1977","พุทธ","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","เทคโนโลยีสารสนเทศ","FALSE"
"nason.noe@rmutto.ac.th","Cs12345678","288970623568-5","นัสรุน","เนื่องนนท์","0714284433","23-01-1989","คริสต์","เบาหวาน","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","เทคโนโลยีสารสนเทศ","FALSE"
"warachot.tua@rmutto.ac.th","Cs12345678","472971470280-0","วีระโชติ","ตวันเยี่ยม","0655949167","2/4/1994","อิสลาม","เบาหวาน","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","เทคโนโลยีสารสนเทศ","FALSE"
"phadongphon.nak@rmutto.ac.th","Cs12345678","732463347307-6","ผดุงพล","นครเทพ","0629760491","10/8/1984","อิสลาม","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","เทคโนโลยีสารสนเทศ","FALSE"
"natton.phr@rmutto.ac.th","Cs12345678","625842974197-4","นรีรัตน์","พีระเพ็ญกุล","0726194270","24-11-1983","พุทธ","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","เทคโนโลยีสารสนเทศ","FALSE"
"bonthoeyen.cha@rmutto.ac.th","Cs12345678","786257909750-2","บุญเทียน","ไชยภา","0735500979","3/2/1977","พุทธ","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","เทคโนโลยีโลจิสติกส์และการจัดการระบบขนส่ง","FALSE"
"chonthonthopha.tho@rmutto.ac.th","Cs12345678","629083501203-2","ชรินทร์ทิพย์","ถุงเงิน","0705041212","29-05-1973","พุทธ","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","เทคโนโลยีโลจิสติกส์และการจัดการระบบขนส่ง","FALSE"
"a-aeso.nop@rmutto.ac.th","Cs12345678","789839257012-5","อาแอเสาะ","นพคเชนทร์","0880507177","27-04-1975","พุทธ","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","เทคโนโลยีโลจิสติกส์และการจัดการระบบขนส่ง","FALSE"
"chetthanakon.tha@rmutto.ac.th","Cs12345678","484527218572-6","เจตธนากร","ทันยุค","0964847434","14-04-1975","คริสต์","เบาหวาน","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","เทคโนโลยีโลจิสติกส์และการจัดการระบบขนส่ง","FALSE"
"wonlop.bon@rmutto.ac.th","Cs12345678","199205142999-4","วัลลภ","บุนยะตีรณะ","0665649530","14-12-1989","คริสต์","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","เทคโนโลยีโลจิสติกส์และการจัดการระบบขนส่ง","FALSE"
"son.dap@rmutto.ac.th","Cs12345678","510575730455-9","สิริ","ดาบเพ็ชร์","0840520119","27-08-1982","พุทธ","ความดันโลหิตสูง","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","เศรษฐศาสตร์","FALSE"
"narawan.ton@rmutto.ac.th","Cs12345678","651543505435-6","นราวรรณ","ตันตราจิณ","0820281378","23-08-1969","อิสลาม","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","เศรษฐศาสตร์","FALSE"
"phasuat.nat@rmutto.ac.th","Cs12345678","896591513578-8","ภาสวุฒิ","นาถะเดชะ","0863807565","13-12-1985","อิสลาม","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","เศรษฐศาสตร์","FALSE"
"onchon.tha@rmutto.ac.th","Cs12345678","570146653886-2","อัญชัญ","ไทนิยม","0926908599","9/7/1986","อิสลาม","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","เศรษฐศาสตร์","FALSE"
"raphatpong.nop@rmutto.ac.th","Cs12345678","975226267662-8","รภัสพงษ์","นพตระกูล","0993797211","4/4/1989","อิสลาม","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","เศรษฐศาสตร์","FALSE"
"saphalon.tha@rmutto.ac.th","Cs12345678","109753047426-1","สุภาลินี","ทันยุค","0846058290","23-04-1972","พุทธ","","ศิลปศาสตร์","การจัดการธุรกิจและเทคโนโลยีการกีฬา","FALSE"
"somchaya.naw@rmutto.ac.th","Cs12345678","871245883537-3","สุมัชญา","นะวะมันดร","0698683629","6/8/1986","พุทธ","ความดันโลหิตสูง","ศิลปศาสตร์","การจัดการธุรกิจและเทคโนโลยีการกีฬา","FALSE"
"bonthoeyen.tho@rmutto.ac.th","Cs12345678","705960983592-7","บุญเทียน","ทองสุกเลิศ","0803470232","12/10/1989","พุทธ","","ศิลปศาสตร์","การจัดการธุรกิจและเทคโนโลยีการกีฬา","FALSE"
"roengket.dua@rmutto.ac.th","Cs12345678","891153230811-1","เรืองเกียรติ","ดวงทับทิม","0974037454","13-03-1967","พุทธ","","ศิลปศาสตร์","การจัดการธุรกิจและเทคโนโลยีการกีฬา","FALSE"
"la.sas@rmutto.ac.th","Cs12345678","942289431636-2","หล้า","ศาสตร์ศิลป์","0614052855","20-07-1976","อิสลาม","","ศิลปศาสตร์","การจัดการธุรกิจและเทคโนโลยีการกีฬา","FALSE"
"chakkrakrinai.wey@rmutto.ac.th","Cs12345678","502041296711-0","จักรกฤนาย","เวียงจันทึก","0771241484","19-08-1977","คริสต์","","ศิลปศาสตร์","การท่องเที่ยวและการโรงแรม (แขนงการท่องเที่ยว)","FALSE"
"monya.tho@rmutto.ac.th","Cs12345678","393618350121-0","มณียา","ทองประดิฐ","0981589007","12/12/1993","อิสลาม","","ศิลปศาสตร์","การท่องเที่ยวและการโรงแรม (แขนงการท่องเที่ยว)","FALSE"
"thamon.nan@rmutto.ac.th","Cs12345678","792276418064-7","ธมน","นานายน","0852871136","31-07-1978","คริสต์","เบาหวาน","ศิลปศาสตร์","การท่องเที่ยวและการโรงแรม (แขนงการท่องเที่ยว)","FALSE"
"lotda.bon@rmutto.ac.th","Cs12345678","936676838755-3","ลัดดา","บุณยะภาชน์","0987550587","2/4/1992","พุทธ","","ศิลปศาสตร์","การท่องเที่ยวและการโรงแรม (แขนงการท่องเที่ยว)","FALSE"
"athuawat.dos@rmutto.ac.th","Cs12345678","536902468076-8","อธิวัตร","ดุษฎีวนิช","0867636895","30-07-1978","คริสต์","เบาหวาน","ศิลปศาสตร์","การท่องเที่ยวและการโรงแรม (แขนงการท่องเที่ยว)","FALSE"
"saithot.mai@rmutto.ac.th","Cs12345678","812248950404-7","สรายุทธ","ไม้แดง","0800159046","19-06-1975","พุทธ","ความดันโลหิตสูง","ศิลปศาสตร์","การท่องเที่ยวและการโรงแรม (แขนงการโรงแรม)","FALSE"
"rongson.dao@rmutto.ac.th","Cs12345678","839303944828-6","รังสินี","ดาวกระจาย","0662759299","16-07-1970","คริสต์","ความดันโลหิตสูง","ศิลปศาสตร์","การท่องเที่ยวและการโรงแรม (แขนงการโรงแรม)","FALSE"
"konchet.tha@rmutto.ac.th","Cs12345678","949170634185-9","กุลเชษฐ","ถนัดหัตถกรรม","0919117680","19-03-1978","คริสต์","เบาหวาน","ศิลปศาสตร์","การท่องเที่ยวและการโรงแรม (แขนงการโรงแรม)","FALSE"
"wannnasa.noe@rmutto.ac.th","Cs12345678","984996697888-9","วรรณนิสา","เนื่องนนท์","0950082288","14-07-1982","พุทธ","","ศิลปศาสตร์","การท่องเที่ยวและการโรงแรม (แขนงการโรงแรม)","FALSE"
"wotchakon.sas@rmutto.ac.th","Cs12345678","144220695903-1","วิชชากร","ซูสารอ","0709339182","15-05-1967","พุทธ","","ศิลปศาสตร์","การท่องเที่ยวและการโรงแรม (แขนงการโรงแรม)","FALSE"
"chalaphon.bon@rmutto.ac.th","Cs12345678","318268246248-3","จิฬาภรณ์","บุญญาไลย์","0689623844","30-01-1970","พุทธ","เบาหวาน","ศิลปศาสตร์","คณิตศาสตร์และวิทยาศาสตร์","FALSE"
"payuat.bon@rmutto.ac.th","Cs12345678","480135180580-0","ปิยวดี","บุญญาไลย์","0770288511","19-06-1977","อิสลาม","","ศิลปศาสตร์","คณิตศาสตร์และวิทยาศาสตร์","TRUE"
"norakant.tha@rmutto.ac.th","Cs12345678","838778950308-9","นรีกานต์","ถนอมพลกรัง","0698626358","13-03-1972","พุทธ","","ศิลปศาสตร์","คณิตศาสตร์และวิทยาศาสตร์","FALSE"
"a-aeso.sar@rmutto.ac.th","Cs12345678","848536171258-2","อาแอเสาะ","สาระพันธ์","0968074058","25-02-1971","พุทธ","","ศิลปศาสตร์","คณิตศาสตร์และวิทยาศาสตร์","FALSE"
"thoetsakot.kha@rmutto.ac.th","Cs12345678","324899948831-7","เทอดศักดิ์","คณานุรักษ์","0690894652","24-07-1968","คริสต์","เบาหวาน","ศิลปศาสตร์","คณิตศาสตร์และวิทยาศาสตร์","FALSE"
"chachannot.kae@rmutto.ac.th","Cs12345678","824317350106-0","ชัชนันท์","แก้วชลคราม","0881676277","27-07-1970","พุทธ","เบาหวาน","ศิลปศาสตร์","ภาษาจีน","FALSE"
"sophakhotchakhong.tha@rmutto.ac.th","Cs12345678","116957038990-7","ศภัคชคง","ถนัดรักษา","0767291336","21-10-1983","คริสต์","","ศิลปศาสตร์","ภาษาจีน","FALSE"
"saharat.sor@rmutto.ac.th","Cs12345678","401352699881-2","สีหราช","ศรีวงค์","0894094890","31-10-1988","คริสต์","","ศิลปศาสตร์","ภาษาจีน","FALSE"
"chonrayaphon.nak@rmutto.ac.th","Cs12345678","888719249944-2","จรรยพร","นาคพันธุ์","0641284119","16-09-1965","พุทธ","","ศิลปศาสตร์","ภาษาจีน","FALSE"
"naphraton.nak@rmutto.ac.th","Cs12345678","726566421218-5","นพรัตน์","นครเทพ","0940695328","24-02-1970","อิสลาม","","ศิลปศาสตร์","ภาษาจีน","FALSE"
"nathuapthan.tho@rmutto.ac.th","Cs12345678","429203334498-0","นาทภูวพัฒน์","ถมปัด","0863715263","5/4/1994","อิสลาม","","ศิลปศาสตร์","ภาษาอังกฤษเพื่อการสื่อสารสากล","FALSE"
"sopha.tho@rmutto.ac.th","Cs12345678","566900216478-8","โสภา","ถมปัด","0860968743","14-11-1970","คริสต์","","ศิลปศาสตร์","ภาษาอังกฤษเพื่อการสื่อสารสากล","FALSE"
"thongson.non@rmutto.ac.th","Cs12345678","326309919638-3","ทองสิริ","นิลเสนา","0624110880","29-08-1988","คริสต์","","ศิลปศาสตร์","ภาษาอังกฤษเพื่อการสื่อสารสากล","FALSE"
"thonphon.tha@rmutto.ac.th","Cs12345678","427141232334-7","ทินพร","ไทไชโย","0945928257","28-12-1973","อิสลาม","","ศิลปศาสตร์","ภาษาอังกฤษเพื่อการสื่อสารสากล","FALSE"
"phorachanok.nak@rmutto.ac.th","Cs12345678","848811068464-6","พรชนก","นครเทพ","0744063686","8/3/1988","พุทธ","","ศิลปศาสตร์","ภาษาอังกฤษเพื่อการสื่อสารสากล","FALSE"
"warommahammot.nat@rmutto.ac.th","Cs12345678","631790631820-8","วาร์มูฮำหมัด","นาถะพินธุ","0603838688","23-03-1973","คริสต์","ความดันโลหิตสูง","ศิลปศาสตร์","ภาษาไทย","FALSE"
"yaowotton.tua@rmutto.ac.th","Cs12345678","853655400615-7","เยาวรัตน์","ตวันเยี่ยม","0735178579","11/3/1992","อิสลาม","","ศิลปศาสตร์","ภาษาไทย","FALSE"
"phasa.naw@rmutto.ac.th","Cs12345678","454472953038-0","พัสวี","นะวะมันดร","0606617265","14-09-1986","พุทธ","เบาหวาน","ศิลปศาสตร์","ภาษาไทย","FALSE"
"wathala.tha@rmutto.ac.th","Cs12345678","794651022320-9","วิทูลย์","ถนอมมนุษย์","0769597257","11/12/1992","คริสต์","","ศิลปศาสตร์","ภาษาไทย","FALSE"
