"Users_Email","Users_Password","Student_Code","Student_FirstName","Student_LastName","Student_Phone","Student_Birthdate","Student_Religion","Student_MedicalProblem","Faculty_Name","Department_Name","Teacher_Code","Student_AcademicYear"
"ophichy.sak@rmutto.ac.th","Cs12345678","117025645630-2","อภิชญ์","ศักดิ์สิทธิ์","0835471650","15-01-2544","คริสต์","โรคหอบหืด","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","วิทยาการคอมพิวเตอร์","317336807383-5","2566"
"oakhrphl.phi@rmutto.ac.th","Cs12345678","900408547183-0","อัครพล","พีรพัฒน์","0673202314","13-01-2545","อิสลาม","ปัญหาการได้ยิน","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","วิทยาการคอมพิวเตอร์","269056064751-7","2566"
"piynuch.wrp@rmutto.ac.th","Cs12345678","302155355315-8","ปิยนุช","วรพล","0659836203","11/12/2548","ไม่ระบุ","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","วิทยาการคอมพิวเตอร์","650841777744-9","2567"
"phrri.sit@rmutto.ac.th","Cs12345678","949196414640-6","พรรณี","สิทธิพงษ์","0919888929","14-07-2544","อิสลาม","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","วิทยาการคอมพิวเตอร์","317336807383-5","2567"
"jintna.phn@rmutto.ac.th","Cs12345678","236085215653-3","จินตนา","พงษ์ศักดิ์","0827635888","6/2/2545","พุทธ","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","วิทยาการคอมพิวเตอร์","317336807383-5","2566"
"ssithr.oph@rmutto.ac.th","Cs12345678","577467902182-5","ศศิธร","อภิพงษ์","0951817758","23-08-2548","ไม่ระบุ","ไมเกรน","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","วิทยาการคอมพิวเตอร์","671757924287-0","2566"
"ophichay.sak@rmutto.ac.th","Cs12345678","209904370080-4","อภิชัย","ศักดิ์สิทธิ์","0923952312","23-01-2543","ไม่ระบุ","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","วิทยาการคอมพิวเตอร์","671757924287-0","2565"
"nphdl.ksd@rmutto.ac.th","Cs12345678","907665956084-6","นพดล","กฤษดา","0637098568","25-09-2549","พุทธ","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","วิทยาการคอมพิวเตอร์","650841777744-9","2565"
"jindaratn.onu@rmutto.ac.th","Cs12345678","803059130655-8","จินดารัตน์","อนุวัฒน์","0971477107","5/8/2549","คริสต์","ความดันโลหิตสูง","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","วิทยาการคอมพิวเตอร์","269056064751-7","2565"
"oayya.thn@rmutto.ac.th","Cs12345678","769237754628-0","อัญญา","ธนากร","0602404134","26-12-2545","พุทธ","โรคเบาหวาน","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","วิทยาการคอมพิวเตอร์","671757924287-0","2566"
"nitiphngs.kit@rmutto.ac.th","Cs12345678","379877869841-6","นิติพงษ์","กิตติศักดิ์","0695379872","5/11/2544","คริสต์","โรคเบาหวาน","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","วิทยาการคอมพิวเตอร์","650841777744-9","2565"
"phkhphl.wre@rmutto.ac.th","Cs12345678","122329722591-8","ภคพล","วรเกียรติ","0853931390","3/2/2548","ไม่ระบุ","โรคหัวใจ","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","วิทยาการคอมพิวเตอร์","317336807383-5","2565"
"puika.sun@rmutto.ac.th","Cs12345678","943337851058-0","ปุณิกา","สุนทร","0829193779","28-04-2547","พุทธ","ไมเกรน","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","วิทยาการคอมพิวเตอร์","269056064751-7","2566"
"jiraphr.sit@rmutto.ac.th","Cs12345678","823299950700-9","จิราภร","สิทธิพงษ์","0869155802","4/4/2547","ไม่ระบุ","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","วิทยาการคอมพิวเตอร์","317336807383-5","2566"
"onucha.thn@rmutto.ac.th","Cs12345678","448326717988-1","อนุชา","ธนาธิป","0612256261","15-09-2543","อิสลาม","โรคเบาหวาน","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","เทคโนโลยีคอมพิวเตอร์","219011389114-7","2565"
"sunantha.cha@rmutto.ac.th","Cs12345678","452768586708-5","สุนันทา","ชำนาญ","0678293952","2/4/2549","ไม่ระบุ","ปัญหาการมองเห็น","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","เทคโนโลยีคอมพิวเตอร์","987936442370-3","2567"
"chamnay.ks@rmutto.ac.th","Cs12345678","307681314367-5","ชำนาญ","กฤษณ์","0668240755","4/4/2545","อิสลาม","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","เทคโนโลยีคอมพิวเตอร์","122925509510-7","2565"
"phirphathr.pha@rmutto.ac.th","Cs12345678","393727883733-1","พีรภัทร์","ภานุพงษ์","0908993100","10/5/2547","คริสต์","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","เทคโนโลยีคอมพิวเตอร์","897137882092-2","2566"
"ointhira.oit@rmutto.ac.th","Cs12345678","964267672859-0","อินทิรา","อิทธิพล","0931144653","1/9/2545","ไม่ระบุ","โรคหัวใจ","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","เทคโนโลยีคอมพิวเตอร์","897137882092-2","2565"
"jindaphimph.sup@rmutto.ac.th","Cs12345678","112562191118-8","จินดาพิมพ์","ศุภชัย","0925686478","2/2/2543","อิสลาม","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","เทคโนโลยีคอมพิวเตอร์","802749892970-7","2566"
"jaruratn.pri@rmutto.ac.th","Cs12345678","805604389015-5","จารุรัตน์","ปริญญา","0817755094","15-10-2548","พุทธ","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","เทคโนโลยีคอมพิวเตอร์","802749892970-7","2566"
"ophichnanth.thi@rmutto.ac.th","Cs12345678","443107689707-6","อภิชนันท์","ธีรพงศ์","0818153905","2/6/2544","พุทธ","โรคหอบหืด","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","เทคโนโลยีคอมพิวเตอร์","802749892970-7","2565"
"pmphngs.san@rmutto.ac.th","Cs12345678","640754434222-7","ปฐมพงศ์","สันติวงศ์","0813831836","28-02-2548","อิสลาม","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","เทคโนโลยีคอมพิวเตอร์","987936442370-3","2567"
"wilawaly.sir@rmutto.ac.th","Cs12345678","299660455790-5","วิลาวัลย์","ศิริชัย","0650669474","7/3/2544","ไม่ระบุ","โรคเบาหวาน","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","เทคโนโลยีคอมพิวเตอร์","897137882092-2","2567"
"siriratn.chw@rmutto.ac.th","Cs12345678","168372572121-4","ศิริรัตน์","ชวลิต","0852680460","14-12-2546","พุทธ","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","เทคโนโลยีคอมพิวเตอร์","802749892970-7","2565"
"oaychli.wrw@rmutto.ac.th","Cs12345678","227699756621-1","อัญชลี","วรวิชญ์","0948175527","8/7/2547","อิสลาม","โรคเบาหวาน","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","เทคโนโลยีคอมพิวเตอร์","219011389114-7","2566"
"ophichya.wrw@rmutto.ac.th","Cs12345678","704540414529-1","อภิชญา","วรวิชญ์","0650288526","28-04-2547","อิสลาม","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","เทคโนโลยีคอมพิวเตอร์","219011389114-7","2565"
"nthi.dim@rmutto.ac.th","Cs12345678","867506634482-9","นที","ดีมาก","0865243454","20-05-2544","ไม่ระบุ","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","เทคโนโลยีคอมพิวเตอร์","802749892970-7","2567"
"rssukhnth.jit@rmutto.ac.th","Cs12345678","334138151190-4","รสสุคนธ์","จิตตะวี","0636156287","7/5/2549","คริสต์","โรคเบาหวาน","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","เทคโนโลยีคอมพิวเตอร์","987936442370-3","2566"
"ichapha.khj@rmutto.ac.th","Cs12345678","152480177062-9","ณิชาภา","ขจรศักดิ์","0972203655","7/7/2545","ไม่ระบุ","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","เทคโนโลยีคอมพิวเตอร์","122925509510-7","2565"
"jindaratnphr.oak@rmutto.ac.th","Cs12345678","337396558311-2","จินดารัตน์พร","อัครพล","0979842952","16-08-2548","อิสลาม","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","เทคโนโลยีคอมพิวเตอร์","802749892970-7","2567"
"bwr.thn@rmutto.ac.th","Cs12345678","833704133362-8","บวร","ธนกฤต","0972230658","12/10/2548","อิสลาม","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","เทคโนโลยีคอมพิวเตอร์","122925509510-7","2566"
"puwich.rng@rmutto.ac.th","Cs12345678","913440351139-8","ปุณณวิช","ณรงค์ศักดิ์","0933118992","12/1/2548","อิสลาม","ปัญหาการได้ยิน","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","เทคโนโลยีคอมพิวเตอร์","802749892970-7","2566"
"oronngkh.thn@rmutto.ac.th","Cs12345678","921306280918-6","อรอนงค์","ธนาธิป","0892490065","3/8/2544","อิสลาม","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","เทคโนโลยีคอมพิวเตอร์","987936442370-3","2565"
"phathrsuda.thw@rmutto.ac.th","Cs12345678","964799398778-8","ภัทรสุดา","ทวีป","0870205498","20-09-2544","ไม่ระบุ","ปัญหาการได้ยิน","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","เทคโนโลยีคอมพิวเตอร์","897137882092-2","2565"
"kmlchnk.ois@rmutto.ac.th","Cs12345678","867076416714-1","กมลชนก","อิศรา","0879091457","5/6/2544","คริสต์","ภูมิแพ้","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","เทคโนโลยีคอมพิวเตอร์","897137882092-2","2566"
"darin.aph@rmutto.ac.th","Cs12345678","748046695061-5","ดาริน","ณัฐพงษ์","0898963474","20-08-2549","ไม่ระบุ","ความดันโลหิตสูง","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","เทคโนโลยีคอมพิวเตอร์","122925509510-7","2566"
"phakhphumi.thn@rmutto.ac.th","Cs12345678","458346439851-4","ภาคภูมิ","ธนากร","0676599677","14-02-2547","อิสลาม","โรคหอบหืด","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","เทคโนโลยีคอมพิวเตอร์","219011389114-7","2567"
"nrinthr.sit@rmutto.ac.th","Cs12345678","443263979714-3","นรินทร์","สิทธิชัย","0998559401","5/8/2546","อิสลาม","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","เทคโนโลยีคอมพิวเตอร์","987936442370-3","2565"
"ners.buy@rmutto.ac.th","Cs12345678","591373783820-8","นเรศ","บุญมี","0609529234","28-10-2547","พุทธ","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","เทคโนโลยีคอมพิวเตอร์","897137882092-2","2567"
"phngskr.wrw@rmutto.ac.th","Cs12345678","738137979860-0","พงศกร","วรวิทย์","0695679602","12/4/2544","ไม่ระบุ","ปัญหาการได้ยิน","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","เทคโนโลยีคอมพิวเตอร์","802749892970-7","2566"
"ophichnanth.san@rmutto.ac.th","Cs12345678","557974926840-8","อภิชนันท์","สันติวงศ์","0883267739","12/5/2545","ไม่ระบุ","โรคหัวใจ","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","เทคโนโลยีคอมพิวเตอร์","897137882092-2","2566"
"phanuwichy.kit@rmutto.ac.th","Cs12345678","779695452318-0","ภานุวิชญ์","กิตติศักดิ์","0901741485","1/7/2548","ไม่ระบุ","โรคหัวใจ","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","เทคโนโลยีคอมพิวเตอร์","897137882092-2","2565"
"kwin.khu@rmutto.ac.th","Cs12345678","698520626162-3","กวิน","คุ้มวงศ์","0964766570","26-09-2547","พุทธ","ไมเกรน","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","เทคโนโลยีคอมพิวเตอร์","802749892970-7","2567"
"thrngphl.mon@rmutto.ac.th","Cs12345678","603650699665-1","ทรงพล","มโนชัย","0643901802","8/8/2547","คริสต์","ปัญหาการมองเห็น","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","เทคโนโลยีคอมพิวเตอร์","219011389114-7","2566"
"jindaratn.pit@rmutto.ac.th","Cs12345678","643943198238-3","จินดารัตน์","ปณิธาน","0825895266","21-01-2543","อิสลาม","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","เทคโนโลยีคอมพิวเตอร์","219011389114-7","2567"
"piyachay.wrp@rmutto.ac.th","Cs12345678","352922983274-6","ปิยะชัย","วรพงษ์","0811778539","7/11/2545","อิสลาม","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","เทคโนโลยีคอมพิวเตอร์","802749892970-7","2567"
"suriyphr.pha@rmutto.ac.th","Cs12345678","220999915594-2","สุรีย์พร","ภัทรเดช","0944815224","27-01-2548","อิสลาม","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","เทคโนโลยีคอมพิวเตอร์","897137882092-2","2567"
"suwiml.jir@rmutto.ac.th","Cs12345678","695505225282-5","สุวิมล","จิรภพ","0819505334","1/7/2545","อิสลาม","ปัญหาการมองเห็น","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","เทคโนโลยีคอมพิวเตอร์","802749892970-7","2566"
"thnwan.wrw@rmutto.ac.th","Cs12345678","259788343047-9","ธนวัฒน์","วรวิชญ์","0886909303","1/12/2543","ไม่ระบุ","ปัญหาการมองเห็น","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","เทคโนโลยีคอมพิวเตอร์","987936442370-3","2567"
"jindaratn.wrp@rmutto.ac.th","Cs12345678","152052943801-0","จินดารัตน์","วรพงษ์","0988337492","22-06-2543","อิสลาม","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","เทคโนโลยีคอมพิวเตอร์","219011389114-7","2567"
"thnphl.sth@rmutto.ac.th","Cs12345678","565765964173-9","ธนพล","สถิตย์","0695359803","26-12-2547","อิสลาม","โรคเบาหวาน","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","เทคโนโลยีคอมพิวเตอร์","987936442370-3","2566"
"bwr.pha@rmutto.ac.th","Cs12345678","756731707794-6","บวร","ภัทรเดช","0905205771","11/8/2545","พุทธ","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","เทคโนโลยีคอมพิวเตอร์","219011389114-7","2565"
"srawui.phn@rmutto.ac.th","Cs12345678","956627909832-5","ศราวุฒิ","พงษ์ศักดิ์","0896840198","20-02-2545","พุทธ","โรคหอบหืด","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","เทคโนโลยีคอมพิวเตอร์","987936442370-3","2565"
"oayya.nph@rmutto.ac.th","Cs12345678","850186177958-7","อัญญา","นฤพนธ์","0830200338","21-08-2546","พุทธ","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","เทคโนโลยีคอมพิวเตอร์","897137882092-2","2567"
"jirphan.pit@rmutto.ac.th","Cs12345678","521855269978-0","จิรพัฒน์","ปิติศักดิ์","0850336744","13-08-2543","อิสลาม","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","เทคโนโลยีคอมพิวเตอร์","802749892970-7","2566"
"wrrpha.thr@rmutto.ac.th","Cs12345678","321228566381-9","วรรณภา","ธรรมโชติ","0910309536","3/7/2544","พุทธ","โรคหัวใจ","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","เทคโนโลยีสารสนเทศ","472971470280-0","2566"
"santisukh.pha@rmutto.ac.th","Cs12345678","667172517301-2","สันติสุข","ภักดี","0602174857","18-05-2546","อิสลาม","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","เทคโนโลยีสารสนเทศ","732463347307-6","2567"
"sunantha.jak@rmutto.ac.th","Cs12345678","942754526699-5","สุนันทา","จักรินทร์","0968801878","25-06-2549","พุทธ","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","เทคโนโลยีสารสนเทศ","472971470280-0","2565"
"ejsa.phn@rmutto.ac.th","Cs12345678","541852717768-3","เจษฎา","พงศ์เดช","0636911016","20-02-2549","คริสต์","โรคเบาหวาน","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","เทคโนโลยีสารสนเทศ","288970623568-5","2567"
"ophichay.thi@rmutto.ac.th","Cs12345678","172327541251-7","อภิชัย","ธีรพัฒน์","0946185895","22-11-2549","อิสลาม","โรคเบาหวาน","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","เทคโนโลยีสารสนเทศ","625842974197-4","2565"
"prems.sur@rmutto.ac.th","Cs12345678","654027530864-0","ปรเมศ","สุริยะ","0600621794","26-04-2545","พุทธ","โรคหัวใจ","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","เทคโนโลยีสารสนเทศ","472971470280-0","2565"
"parichati.phk@rmutto.ac.th","Cs12345678","583943983784-5","ปาริชาติ","พฤกษ์ทวี","0831409079","25-06-2546","ไม่ระบุ","ไมเกรน","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","เทคโนโลยีสารสนเทศ","732463347307-6","2567"
"jintphr.thn@rmutto.ac.th","Cs12345678","542495991842-2","จินตพร","ธนวัฒน์","0893552619","19-08-2546","พุทธ","ไมเกรน","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","เทคโนโลยีสารสนเทศ","288970623568-5","2565"
"phumi.thn@rmutto.ac.th","Cs12345678","479115908420-4","ภูมิ","ธนากร","0904081224","16-04-2547","คริสต์","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","เทคโนโลยีสารสนเทศ","618227101338-1","2567"
"ejsa.sak@rmutto.ac.th","Cs12345678","116516366771-3","เจษฎา","ศักดากร","0620104037","5/1/2547","พุทธ","ปัญหาการมองเห็น","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","เทคโนโลยีสารสนเทศ","288970623568-5","2567"
"ssithr.thw@rmutto.ac.th","Cs12345678","191673674325-6","ศศิธร","ทวีโชติ","0605344230","20-08-2548","ไม่ระบุ","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","เทคโนโลยีสารสนเทศ","288970623568-5","2566"
"onucha.oak@rmutto.ac.th","Cs12345678","972002430621-2","อนุชา","อัครพล","0909061326","5/6/2543","คริสต์","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","เทคโนโลยีสารสนเทศ","288970623568-5","2567"
"phrethph.kit@rmutto.ac.th","Cs12345678","452869284606-6","พรเทพ","กิตติศักดิ์","0605351189","5/5/2548","อิสลาม","ปัญหาการมองเห็น","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","เทคโนโลยีสารสนเทศ","625842974197-4","2567"
"kantthira.wis@rmutto.ac.th","Cs12345678","211116265749-8","กานต์ธีรา","วิศรุต","0844445058","1/2/2548","อิสลาม","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","เทคโนโลยีสารสนเทศ","625842974197-4","2567"
"ssithr.nph@rmutto.ac.th","Cs12345678","258804785341-0","ศศิธร","นฤพนธ์","0604492474","10/8/2544","คริสต์","ไมเกรน","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","เทคโนโลยีสารสนเทศ","288970623568-5","2565"
"thnakr.pha@rmutto.ac.th","Cs12345678","928644791562-6","ธนากร","ภัทรพงษ์","0947072100","9/4/2546","อิสลาม","โรคหอบหืด","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","เทคโนโลยีสารสนเทศ","472971470280-0","2565"
"wrphngs.oak@rmutto.ac.th","Cs12345678","945218629696-0","วรพงศ์","อัครพล","0646991238","6/2/2549","คริสต์","ความดันโลหิตสูง","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","เทคโนโลยีสารสนเทศ","472971470280-0","2567"
"suriyratn.cha@rmutto.ac.th","Cs12345678","981274891920-3","สุรีย์รัตน์","ชัยวัฒนา","0937191834","18-11-2548","ไม่ระบุ","ปัญหาการได้ยิน","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","เทคโนโลยีสารสนเทศ","618227101338-1","2567"
"thnakr.rat@rmutto.ac.th","Cs12345678","778636137071-1","ธนากร","รัตนประเสริฐ","0922653291","28-03-2547","คริสต์","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","เทคโนโลยีสารสนเทศ","472971470280-0","2566"
"smbur.thn@rmutto.ac.th","Cs12345678","905510698742-8","สมบูรณ์","ธนกร","0915655085","26-12-2549","อิสลาม","ความดันโลหิตสูง","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","เทคโนโลยีสารสนเทศ","288970623568-5","2566"
"jindaphr.wrp@rmutto.ac.th","Cs12345678","713155634951-9","จินดาพร","วรพล","0905628252","2/9/2545","ไม่ระบุ","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","เทคโนโลยีสารสนเทศ","625842974197-4","2566"
"jaruwrr.sup@rmutto.ac.th","Cs12345678","465633477424-2","จารุวรรณ","ศุภศักดิ์","0657447608","22-05-2546","พุทธ","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","เทคโนโลยีสารสนเทศ","618227101338-1","2567"
"ophiraks.oak@rmutto.ac.th","Cs12345678","143049772952-1","อภิรักษ์","อัครพล","0846545855","8/11/2546","ไม่ระบุ","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","เทคโนโลยีสารสนเทศ","732463347307-6","2565"
"aa.aph@rmutto.ac.th","Cs12345678","791444483492-7","ณัฐฐา","ณัฐพงษ์","0862264742","21-07-2543","อิสลาม","ความดันโลหิตสูง","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","เทคโนโลยีสารสนเทศ","618227101338-1","2565"
"thiredch.jak@rmutto.ac.th","Cs12345678","316670760872-1","ธีรเดช","จักรพงศ์","0655728708","12/5/2544","คริสต์","ภูมิแพ้","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","เทคโนโลยีสารสนเทศ","472971470280-0","2567"
"chyphl.pha@rmutto.ac.th","Cs12345678","140287126509-4","ชยพล","ภัทรพงษ์","0879987458","13-08-2545","ไม่ระบุ","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","เทคโนโลยีสารสนเทศ","625842974197-4","2567"
"jirphathr.kit@rmutto.ac.th","Cs12345678","758927382275-7","จิรภัทร","กิตติพงษ์","0980707152","2/7/2545","อิสลาม","ปัญหาการมองเห็น","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","เทคโนโลยีสารสนเทศ","625842974197-4","2567"
"jiraphrr.sir@rmutto.ac.th","Cs12345678","113147127539-1","จิราพรรณ","ศิริชัย","0940080248","25-08-2543","อิสลาม","ไมเกรน","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","เทคโนโลยีสารสนเทศ","625842974197-4","2567"
"raphngs.wrp@rmutto.ac.th","Cs12345678","553666807738-7","รัฐพงษ์","วรพล","0948547372","4/8/2548","ไม่ระบุ","ปัญหาการได้ยิน","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","เทคโนโลยีสารสนเทศ","472971470280-0","2565"
"chyphl.phi@rmutto.ac.th","Cs12345678","435854389099-6","ชยพล","พีรพัฒน์","0970310865","28-03-2546","พุทธ","โรคหัวใจ","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","เทคโนโลยีสารสนเทศ","618227101338-1","2566"
"wrrpha.kit@rmutto.ac.th","Cs12345678","294931881772-4","วรรณภา","กิตติศักดิ์","0881780630","27-12-2546","ไม่ระบุ","ภูมิแพ้","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","เทคโนโลยีสารสนเทศ","732463347307-6","2566"
"phimphchnk.onu@rmutto.ac.th","Cs12345678","728080860365-8","พิมพ์ชนก","อนุชา","0677742392","20-11-2548","พุทธ","โรคหอบหืด","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","เทคโนโลยีสารสนเทศ","618227101338-1","2567"
"wrayya.thn@rmutto.ac.th","Cs12345678","199325404243-7","วรัญญา","ธนพงษ์","0658992141","20-06-2548","คริสต์","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","เทคโนโลยีสารสนเทศ","732463347307-6","2567"
"eokrach.wrw@rmutto.ac.th","Cs12345678","981957961705-1","เอกราช","วรวิชญ์","0923107839","18-08-2543","อิสลาม","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","เทคโนโลยีสารสนเทศ","625842974197-4","2567"
"sunisa.pri@rmutto.ac.th","Cs12345678","273263180096-9","สุนิสา","ปริญญา","0632637207","20-03-2543","พุทธ","","บริหารธุรกิจและเทคโนโลยีสารสนเทศ","เทคโนโลยีสารสนเทศ","472971470280-0","2567"
